instance;solved;time;GCN;LCN;stress
grafo7246.42.gml;1;3.0618;16;4;0.3719
grafo7248.41.gml;1;2.9845;3;1;0.2336
grafo7250.47.gml;1;3.3355;22;4;0.3796
grafo7254.44.gml;1;3.4941;34;5;0.3214
grafo7261.42.gml;1;3.1597;22;6;0.4015
grafo7269.40.gml;1;0.2341;5;1;0.2395
grafo7278.42.gml;1;3.0278;18;5;0.3638
grafo7280.52.gml;1;3.1159;14;2;0.3544
grafo7281.46.gml;1;0.1268;4;1;0.2789
grafo7294.57.gml;1;2.8183;5;1;0.3051
grafo7297.39.gml;1;3.1655;23;3;0.3997
grafo7301.40.gml;1;0.0625;6;1;0.1516
grafo7303.46.gml;1;2.9274;10;2;0.4369
grafo7309.41.gml;1;3.0047;11;3;0.4422
grafo7313.43.gml;1;0.6954;2;1;0.3754
grafo7320.38.gml;1;2.9538;15;7;0.4015
grafo733.43.gml;1;0.0414;5;1;0.2101
grafo7332.49.gml;1;4.3166;67;7;0.3464
grafo7334.43.gml;1;3.0126;9;3;0.3299
grafo7347.40.gml;1;2.8857;9;2;0.3607
grafo7360.44.gml;1;0.7252;5;1;0.3193
grafo7361.76.gml;1;3.0608;21;4;0.3962
grafo7369.48.gml;1;2.8407;13;6;0.3361
grafo7372.41.gml;1;2.8415;8;2;0.3088
grafo7384.45.gml;1;2.7724;4;1;0.2984
grafo7386.46.gml;1;3.0202;21;6;0.3627
grafo7388.50.gml;1;2.8203;9;4;0.3319
grafo7394.47.gml;1;0.8501;5;1;0.3813
grafo7400.57.gml;1;2.7765;12;7;0.3546
grafo7403.43.gml;1;2.7048;18;5;0.3336
grafo7408.38.gml;1;2.613;12;4;0.3338
grafo7410.37.gml;1;0.4618;4;1;0.2647
grafo7416.36.gml;1;0.5733;5;1;0.3158
grafo7424.45.gml;1;2.4439;24;6;0.4234
grafo743.32.gml;1;0.1589;2;1;0.2119
grafo7445.49.gml;1;2.7098;29;5;0.355
grafo7456.43.gml;1;2.9804;44;7;0.3334
grafo7461.72.gml;1;3.6777;30;4;0.3348
grafo7475.40.gml;1;2.4675;16;6;0.3592
grafo7486.42.gml;1;2.5635;10;3;0.3465
grafo7489.39.gml;1;2.6643;12;3;0.3788
grafo7498.41.gml;1;0.2557;3;1;0.2119
grafo7504.50.gml;1;3.2929;27;4;0.3198
grafo7507.67.gml;1;3.3113;20;3;0.2996
grafo7508.56.gml;1;4.3359;23;6;0.3668
grafo7510.70.gml;1;4.0132;48;6;0.3262
grafo7516.69.gml;1;3.3606;29;4;0.3617
grafo7517.38.gml;1;1.6045;3;1;0.2623
grafo752.76.gml;1;4.0512;36;7;0.3087
grafo7520.45.gml;1;1.0656;3;1;0.2898
grafo7522.46.gml;1;3.407;32;5;0.42
grafo7528.66.gml;1;3.2279;8;2;0.3271
grafo7529.93.gml;1;4.1281;69;6;0.2938
grafo7533.50.gml;1;3.2263;5;2;0.3484
grafo7540.46.gml;1;4.9365;21;4;0.3139
grafo7543.43.gml;1;2.9464;3;1;0.3302
grafo7551.39.gml;1;0.4711;4;1;0.2496
grafo7559.52.gml;1;3.177;11;4;0.341
grafo7563.42.gml;1;3.2275;14;3;0.37
grafo7576.38.gml;1;0.0741;3;1;0.1514
grafo7595.74.gml;1;4.5245;27;4;0.3339
grafo7598.43.gml;1;3.1263;10;3;0.3548
grafo7602.42.gml;1;2.9542;5;1;0.3202
grafo7607.42.gml;1;3.3396;20;3;0.3631
grafo7609.42.gml;1;3.382;15;3;0.4058
grafo7614.42.gml;1;3.2107;23;7;0.4502
grafo7619.44.gml;1;3.5185;34;5;0.373
grafo7628.47.gml;1;3.4421;27;4;0.3545
grafo7634.56.gml;1;5.0078;54;5;0.3096
grafo7646.50.gml;1;0.2192;6;1;0.2063
grafo7654.45.gml;1;0.3399;7;1;0.2988
grafo7655.49.gml;1;3.2705;15;4;0.4363
grafo7658.44.gml;1;3.3263;20;5;0.3951
grafo7665.42.gml;1;3.5457;39;7;0.3546
grafo7666.42.gml;1;3.4078;24;8;0.3875
grafo7671.86.gml;1;3.8846;33;4;0.2251
grafo7678.52.gml;1;0.0712;1;1;0.1926
grafo7692.42.gml;1;0.28;3;1;0.1851
grafo7706.40.gml;1;3.0782;7;2;0.2777
grafo7709.42.gml;1;3.1985;10;2;0.3148
grafo7718.40.gml;1;3.0721;10;3;0.3885
grafo7724.54.gml;1;0.2336;6;1;0.2122
grafo7727.42.gml;1;0.0661;4;1;0.195
grafo7732.42.gml;1;1.8862;4;1;0.3391
grafo7742.46.gml;1;0.057;7;1;0.2684
grafo7751.44.gml;1;0.5825;2;1;0.3508
grafo7753.40.gml;1;3.31;26;6;0.3114
grafo7755.40.gml;1;3.2795;15;4;0.4808
grafo7763.57.gml;1;4.9358;21;3;0.3271
grafo7766.40.gml;1;0.4577;6;1;0.2699
grafo7768.42.gml;1;3.1396;6;2;0.1473
grafo7770.57.gml;1;0.179;3;1;0.1843
grafo7772.62.gml;1;4.41;12;3;0.3976
grafo7776.78.gml;1;4.2349;51;5;0.3635
grafo7780.90.gml;1;4.0087;89;5;0.3567
grafo7781.93.gml;1;3.9796;33;4;0.3304
grafo7788.84.gml;1;3.8607;54;7;0.2671
grafo7789.62.gml;1;4.7677;35;4;0.3533
grafo7792.96.gml;1;3.5848;38;4;0.2924
