instance;solved;time;GCN;LCN;stress
ba_1824_n94_m3.gml;1;55.7693;1480;54;0.5724
ba_1829_n108_m3.gml;1;55.9585;1892;52;0.5193
ba_1870_n148_m2.gml;1;55.7249;1049;41;0.4528
ba_1872_n116_m2.gml;1;55.375;625;38;0.4526
ba_1885_n112_m3.gml;1;56.4502;2335;50;0.5755
ba_1903_n100_m3.gml;1;55.9395;2054;59;0.5288
ba_1910_n108_m2.gml;1;54.8976;434;18;0.4979
ba_197_n96_m2.gml;1;53.0205;384;16;0.4494
ba_2018_n120_m3.gml;1;53.3697;3462;71;0.5428
ba_2027_n121_m3.gml;1;53.5514;3569;91;0.6488
ba_2045_n191_m1.gml;1;57.1032;27;3;0.3799
ba_2066_n55_m3.gml;1;62.2091;582;26;0.6142
ba_2073_n57_m2.gml;1;62.2274;87;11;0.4465
ba_2078_n104_m2.gml;1;63.5181;536;29;0.5036
ba_2097_n77_m3.gml;1;61.3094;1262;50;0.6315
ba_2101_n114_m1.gml;1;60.62;10;4;0.4007
ba_2110_n139_m2.gml;1;60.5861;1087;43;0.5268
ba_2113_n56_m3.gml;1;60.1262;544;22;0.5301
ba_2116_n113_m2.gml;1;60.0067;621;29;0.4535
ba_2171_n146_m3.gml;1;61.2533;4123;85;0.5037
ba_2214_n115_m3.gml;1;60.1617;2860;51;0.5539
ba_2230_n63_m3.gml;1;59.4296;559;27;0.5232
ba_2271_n187_m1.gml;1;58.3393;17;3;0.4021
ba_2274_n118_m2.gml;1;59.6733;998;33;0.5257
ba_2275_n132_m3.gml;1;60.9796;5867;99;0.5337
ba_2304_n88_m3.gml;1;58.7034;1458;49;0.5463
ba_2306_n148_m2.gml;1;58.6903;1172;54;0.4842
ba_2326_n58_m3.gml;1;58.4246;615;24;0.6503
ba_2332_n142_m2.gml;1;58.7;1310;38;0.4723
ba_2339_n56_m3.gml;1;58.3481;449;27;0.5356
ba_2357_n126_m3.gml;1;57.9976;3080;61;0.5956
ba_2368_n80_m2.gml;1;56.9487;391;24;0.5361
ba_2401_n90_m3.gml;1;57.991;2089;58;0.5583
ba_2474_n90_m3.gml;1;57.4781;1474;48;0.5562
ba_2481_n89_m2.gml;1;57.2511;316;16;0.4762
ba_248_n96_m2.gml;1;57.3882;539;24;0.5356
ba_2512_n75_m2.gml;1;57.3815;221;19;0.4975
ba_2526_n182_m1.gml;1;57.119;6;3;0.4416
ba_2545_n145_m2.gml;1;56.2641;1389;47;0.5119
ba_2561_n56_m3.gml;1;55.4661;790;36;0.5756
ba_2562_n185_m1.gml;1;55.0325;10;2;0.3302
ba_2598_n99_m1.gml;1;51.8134;8;3;0.4867
ba_2609_n77_m3.gml;1;55.1415;1173;47;0.5462
ba_2669_n166_m1.gml;1;53.8016;3;1;0.4994
ba_2681_n89_m2.gml;1;54.4806;330;15;0.5189
ba_2691_n67_m2.gml;1;54.3826;191;14;0.54
ba_2702_n183_m1.gml;1;55.4296;18;4;0.4148
ba_270_n114_m3.gml;1;55.1914;2496;52;0.5367
ba_2720_n154_m2.gml;1;75.128;1391;42;0.5042
ba_2725_n126_m3.gml;1;57.6718;3299;78;0.5739
ba_2751_n73_m1.gml;1;55.4058;8;4;0.4816
ba_2766_n192_m1.gml;1;54.1537;9;3;0.3725
ba_2782_n145_m3.gml;1;56.9604;5021;97;0.5636
ba_278_n105_m2.gml;1;55.676;457;33;0.4336
ba_281_n105_m2.gml;1;55.8341;541;30;0.5261
ba_282_n91_m2.gml;1;55.4949;277;14;0.4694
ba_2847_n52_m2.gml;1;55.1126;106;9;0.4607
ba_2870_n147_m2.gml;1;53.8678;2020;47;0.5719
ba_28_n108_m3.gml;1;53.764;2305;54;0.5487
ba_2905_n197_m1.gml;1;51.8481;19;3;0.3709
ba_2938_n142_m2.gml;1;57.4637;1149;39;0.4684
ba_2943_n115_m3.gml;1;63.3632;3081;73;0.6044
ba_2977_n56_m2.gml;1;62.2088;108;14;0.5221
ba_2988_n198_m1.gml;1;61.3635;12;2;0.4088
ba_2996_n138_m3.gml;1;62.2071;3565;67;0.5142
ba_3017_n107_m3.gml;1;61.354;2060;44;0.5655
ba_3034_n57_m3.gml;1;59.8948;486;27;0.5139
ba_3053_n149_m3.gml;1;61.8245;5736;91;0.5404
ba_3111_n85_m2.gml;1;59.6862;296;15;0.4792
ba_3119_n111_m2.gml;1;59.9049;666;24;0.4651
ba_3137_n73_m3.gml;1;59.3508;883;30;0.5697
ba_3182_n122_m3.gml;1;59.7926;3137;88;0.5111
ba_3183_n110_m3.gml;1;60.1826;2793;57;0.5272
ba_3207_n100_m2.gml;1;58.8774;384;25;0.5656
ba_3215_n96_m3.gml;1;59.8181;1678;44;0.5519
ba_3216_n145_m2.gml;1;58.7621;937;35;0.4869
ba_3246_n64_m3.gml;1;58.0562;863;39;0.5768
ba_3251_n77_m3.gml;1;58.1132;1140;40;0.5319
ba_3252_n86_m3.gml;1;58.7625;1721;54;0.577
ba_3269_n65_m3.gml;1;58.1864;1306;38;0.5143
ba_3310_n68_m2.gml;1;56.8429;176;12;0.5071
ba_3312_n84_m1.gml;1;54.1699;2;1;0.4226
ba_3326_n68_m3.gml;1;56.8787;747;36;0.5607
ba_3371_n62_m2.gml;1;56.2671;144;11;0.5192
ba_3388_n104_m3.gml;1;58.0388;2133;68;0.5922
ba_3390_n51_m2.gml;1;56.4164;117;18;0.542
ba_3396_n146_m3.gml;1;59.2357;4853;77;0.5532
ba_3452_n141_m2.gml;1;57.8521;1278;40;0.5273
ba_3461_n183_m1.gml;1;55.7441;31;5;0.4044
ba_3486_n55_m2.gml;1;56.3127;103;9;0.4695
ba_3498_n72_m3.gml;1;56.8511;1858;51;0.6036
ba_34_n50_m3.gml;1;55.6776;476;19;0.6313
ba_3500_n62_m3.gml;1;55.8118;823;32;0.6274
ba_3560_n145_m3.gml;1;57.3526;4708;98;0.5511
ba_3565_n107_m3.gml;1;56.6427;2131;48;0.5553
ba_3570_n124_m1.gml;1;53.5163;5;2;0.5943
ba_3599_n86_m2.gml;1;56.5094;754;31;0.5069
ba_3636_n131_m1.gml;1;55.7665;5;2;0.4488
ba_3638_n122_m2.gml;1;75.7524;896;31;0.497
ba_3640_n97_m3.gml;1;57.6284;2347;72;0.5286
ba_3648_n79_m2.gml;1;55.7344;258;18;0.4652
ba_3651_n106_m3.gml;1;56.9775;2829;81;0.522
ba_366_n91_m2.gml;1;56.1978;351;19;0.4938
ba_3680_n150_m1.gml;1;55.6096;10;2;0.3505
ba_368_n69_m2.gml;1;56.0618;303;17;0.551
