instance;solved;time;GCN;LCN;stress
grafo10003.40.gml;1;0.1618;4;2;0.2865
grafo10008.42.gml;1;0.1467;12;3;0.3062
grafo10020.38.gml;1;0.1667;8;3;0.34
grafo10027.38.gml;1;0.1696;6;2;0.304
grafo10030.38.gml;1;0.1553;8;3;0.2469
grafo10054.40.gml;1;0.1544;10;3;0.2823
grafo10058.32.gml;1;0.1582;5;1;0.2222
grafo10078.40.gml;1;0.1533;6;2;0.2339
grafo10087.39.gml;1;0.1566;4;2;0.2489
grafo10089.37.gml;1;0.1573;7;3;0.277
grafo10100.99.gml;1;0.2729;64;6;0.3181
grafo10103.98.gml;1;0.2583;40;4;0.3281
grafo10107.93.gml;1;0.2199;48;6;0.2559
grafo10118.97.gml;1;0.2306;56;9;0.3218
grafo10125.99.gml;1;0.1937;12;2;0.251
grafo10128.98.gml;1;0.2667;34;4;0.2661
grafo10130.97.gml;1;0.2159;58;6;0.341
grafo10140.40.gml;1;0.164;3;2;0.2843
grafo10144.98.gml;1;0.2291;43;4;0.2648
grafo10149.95.gml;1;0.2164;61;6;0.2946
grafo10154.94.gml;1;0.2226;61;6;0.3139
grafo10170.96.gml;1;0.2372;40;6;0.3141
grafo10193.38.gml;1;0.1539;2;2;0.2403
grafo10194.97.gml;1;0.2235;53;5;0.2994
grafo10195.99.gml;1;0.264;63;9;0.3121
grafo10201.93.gml;1;0.2061;39;7;0.3593
grafo10204.100.gml;1;0.2231;100;14;0.3312
grafo10207.98.gml;1;0.2602;54;5;0.3773
grafo10214.94.gml;1;0.2172;37;5;0.2732
grafo10228.95.gml;1;0.2401;55;7;0.3142
grafo10240.97.gml;1;0.2525;60;8;0.2848
grafo10243.95.gml;1;0.2302;56;6;0.3498
grafo10250.100.gml;1;0.2431;47;6;0.333
grafo10252.96.gml;1;0.2135;41;5;0.2994
grafo10260.98.gml;1;0.205;34;4;0.2695
grafo10262.100.gml;1;0.2099;63;6;0.3166
grafo10266.94.gml;1;0.2213;84;8;0.3017
grafo10276.41.gml;1;0.0532;5;2;0.2441
grafo10278.40.gml;1;0.1553;8;2;0.2737
grafo10280.37.gml;1;0.1619;6;2;0.2452
grafo10298.97.gml;1;0.2298;77;7;0.3356
grafo10301.94.gml;1;0.2117;68;6;0.2979
grafo10311.91.gml;1;0.1887;16;2;0.2516
grafo10317.91.gml;1;0.2253;45;3;0.262
grafo10343.94.gml;1;0.2115;10;2;0.2197
grafo10344.100.gml;1;0.231;24;4;0.3009
grafo1035.37.gml;1;0.158;10;4;0.3294
grafo10352.95.gml;1;0.2038;32;4;0.2203
grafo10362.94.gml;1;0.2321;56;7;0.289
grafo10366.99.gml;1;0.2404;49;5;0.3138
grafo10370.98.gml;1;0.2562;35;3;0.3444
grafo10373.94.gml;1;0.1925;20;6;0.2546
grafo10374.97.gml;1;0.2173;41;6;0.3293
grafo10378.100.gml;1;0.1941;21;4;0.2515
grafo10385.94.gml;1;0.1908;48;6;0.3849
grafo10391.94.gml;1;0.1907;50;6;0.2549
grafo10412.94.gml;1;0.189;47;5;0.2906
grafo10416.96.gml;1;0.2453;62;7;0.2894
grafo10418.100.gml;1;0.2414;70;6;0.3054
grafo10429.100.gml;1;0.214;40;6;0.3056
grafo10433.97.gml;1;0.2015;38;5;0.2833
grafo10435.96.gml;1;0.1845;28;4;0.2756
grafo10442.97.gml;1;0.1942;22;4;0.2643
grafo10464.96.gml;1;0.2206;13;3;0.1618
grafo10473.95.gml;1;0.2222;46;4;0.3305
grafo10474.94.gml;1;0.2597;118;9;0.3331
grafo10475.98.gml;1;0.2058;33;5;0.3109
grafo10478.94.gml;1;0.2322;25;7;0.2639
grafo10480.95.gml;1;0.1966;34;4;0.287
grafo10484.99.gml;1;0.2131;116;8;0.3443
grafo10486.97.gml;1;0.2016;31;5;0.2648
