instance;solved;time;GCN;LCN;stress
ba_02_n121_m3.gml;1;0.0241;5605;86;0.3879
ba_1009_n130_m3.gml;1;0.0262;5211;91;0.3966
ba_1019_n84_m2.gml;1;0.0136;617;26;0.3755
ba_1028_n139_m3.gml;1;0.0357;5994;98;0.3975
ba_1051_n130_m2.gml;1;0.0302;1769;48;0.389
ba_1066_n140_m2.gml;1;0.0348;1800;45;0.3747
ba_1078_n129_m2.gml;1;0.0305;1538;41;0.3745
ba_1095_n68_m2.gml;1;0.0093;434;20;0.3408
ba_1106_n64_m2.gml;1;0.0088;365;22;0.3683
ba_113_n149_m3.gml;1;0.0391;6403;93;0.3889
ba_1217_n141_m3.gml;1;0.0386;6171;81;0.3887
ba_1230_n129_m1.gml;1;0.0037;28;5;0.2963
ba_123_n89_m3.gml;1;0.0152;2772;60;0.3854
ba_125_n128_m3.gml;1;0.0305;5013;84;0.3912
ba_1265_n105_m1.gml;1;0.0035;6;1;0.2125
ba_1281_n124_m3.gml;1;0.031;4582;76;0.381
ba_1303_n77_m3.gml;1;0.0122;2174;56;0.3747
ba_1309_n133_m3.gml;1;0.034;5305;77;0.3902
ba_1326_n140_m2.gml;1;0.0351;2070;53;0.3812
ba_1332_n94_m2.gml;1;0.017;887;26;0.3519
ba_1338_n110_m3.gml;1;0.0226;3404;75;0.3822
ba_1362_n72_m3.gml;1;0.011;1979;57;0.3809
ba_1370_n86_m2.gml;1;0.0145;599;22;0.3675
ba_1396_n126_m2.gml;1;0.0272;1345;33;0.3752
ba_1405_n138_m2.gml;1;0.0337;1571;37;0.3829
ba_1427_n114_m3.gml;1;0.0242;4757;84;0.3808
ba_1428_n117_m3.gml;1;0.026;4178;69;0.3909
ba_143_n135_m3.gml;1;0.0311;6182;104;0.3893
ba_1457_n81_m2.gml;1;0.0131;604;24;0.367
ba_1472_n140_m3.gml;1;0.0358;7396;96;0.3923
ba_1487_n162_m1.gml;1;0.003;12;5;0.3292
ba_1528_n100_m2.gml;1;0.018;923;31;0.3866
ba_1529_n56_m3.gml;1;0.0067;745;31;0.3548
ba_1538_n91_m3.gml;1;0.0159;2632;66;0.3853
ba_1550_n91_m2.gml;1;0.0155;718;28;0.3722
ba_1554_n117_m2.gml;1;0.0237;1198;40;0.3637
ba_1562_n135_m3.gml;1;0.0321;5326;82;0.3871
ba_1597_n84_m3.gml;1;0.0125;2227;53;0.3769
ba_1604_n149_m3.gml;1;0.0376;8765;109;0.3917
ba_1607_n99_m3.gml;1;0.0157;2746;59;0.3803
ba_1608_n120_m3.gml;1;0.0231;4820;81;0.3845
ba_1628_n148_m2.gml;1;0.0342;2811;58;0.3859
ba_1650_n84_m2.gml;1;0.0115;518;19;0.3629
ba_1721_n132_m3.gml;1;0.0277;6036;94;0.3849
ba_1726_n130_m1.gml;1;0.0028;13;3;0.2587
ba_1729_n138_m3.gml;1;0.029;6395;86;0.3902
ba_1752_n95_m2.gml;1;0.0145;639;24;0.3551
ba_1759_n143_m1.gml;1;0.0037;15;4;0.2788
ba_1778_n128_m1.gml;1;0.0035;16;4;0.225
ba_177_n110_m3.gml;1;0.0192;4474;82;0.3941
