instance;solved;time;GCN;LCN;stress
grafo9103.80.gml;1;21.7679;22;3;0.4658
grafo9104.82.gml;1;28.0654;31;4;0.5382
grafo9115.82.gml;1;29.7995;19;4;0.5333
grafo9120.64.gml;1;8.8591;21;4;0.5955
grafo9128.64.gml;1;20.0278;25;3;0.501
grafo9136.67.gml;1;13.0675;16;5;0.4986
grafo914.26.gml;1;2.9083;8;3;0.5193
grafo9150.82.gml;1;27.7432;32;4;0.5693
grafo9151.63.gml;1;10.1403;11;3;0.5231
grafo9153.74.gml;1;24.6992;29;4;0.5274
grafo9154.66.gml;1;20.6979;44;6;0.5175
grafo9157.68.gml;1;10.3983;20;4;0.5297
grafo9160.72.gml;1;18.9199;27;6;0.5581
grafo9164.66.gml;1;19.6874;23;4;0.5326
grafo9167.67.gml;1;20.1854;21;5;0.4874
grafo9169.67.gml;1;28.6781;47;6;0.6083
grafo9174.81.gml;1;17.8836;19;4;0.5221
grafo9181.67.gml;1;18.2975;38;5;0.5068
grafo9185.64.gml;1;15.3112;18;4;0.4883
grafo9191.69.gml;1;10.1453;18;3;0.507
grafo9197.70.gml;1;18.1199;33;5;0.5264
grafo9198.81.gml;1;53.7587;64;5;0.5476
grafo9201.83.gml;1;23.8708;27;5;0.5553
grafo9204.71.gml;1;29.9054;28;4;0.4863
grafo9206.66.gml;1;9.8718;10;3;0.4857
grafo9217.88.gml;1;40.4568;30;3;0.5658
grafo9224.65.gml;1;21.2243;45;5;0.5743
grafo9228.81.gml;1;33.8087;54;6;0.5518
grafo9230.83.gml;1;30.6273;50;6;0.5646
grafo9231.81.gml;1;35.965;60;7;0.5444
grafo9232.69.gml;1;15.5256;22;4;0.5643
grafo9238.85.gml;1;13.6674;12;2;0.4312
grafo9239.62.gml;1;12.065;11;3;0.504
grafo9242.72.gml;1;17.268;24;4;0.5401
grafo9245.82.gml;1;23.091;22;4;0.5335
grafo9248.64.gml;1;18.3368;37;5;0.5806
grafo925.21.gml;1;0.9668;2;1;0.3119
grafo9250.73.gml;1;21.6608;11;2;0.4337
grafo9256.79.gml;1;10.9984;16;4;0.4605
grafo9257.62.gml;1;10.4175;18;2;0.4975
grafo9260.68.gml;1;15.2999;19;3;0.5225
grafo9262.72.gml;1;15.2393;24;3;0.5709
grafo9264.70.gml;1;14.4958;11;3;0.5273
grafo9283.66.gml;1;15.0342;10;4;0.5332
grafo9284.68.gml;1;13.1906;32;5;0.5608
grafo9285.86.gml;1;31.6127;33;6;0.5663
grafo9291.63.gml;1;13.7626;22;3;0.532
grafo9293.74.gml;1;20.2232;19;3;0.5427
grafo9299.92.gml;1;37.8162;42;5;0.5124
grafo9306.83.gml;1;23.1658;25;3;0.4837
grafo9318.81.gml;1;25.5311;23;3;0.5528
grafo9320.66.gml;1;11.7759;20;4;0.5452
grafo9332.89.gml;1;30.1732;21;4;0.474
grafo9333.80.gml;1;25.7039;35;4;0.5544
grafo9338.86.gml;1;16.4106;24;4;0.4936
grafo9339.83.gml;1;20.2796;21;4;0.5213
grafo9340.88.gml;1;28.251;27;4;0.5126
grafo9350.63.gml;1;12.1613;12;2;0.4854
grafo9351.73.gml;1;10.5085;4;2;0.5339
grafo9352.80.gml;1;14.3178;22;4;0.5253
grafo9362.98.gml;1;57.2768;88;6;0.597
grafo9363.70.gml;1;14.2612;11;2;0.4853
grafo9365.63.gml;1;12.0305;12;2;0.5168
grafo9368.72.gml;1;11.8794;9;2;0.5136
grafo9373.70.gml;1;10.7543;14;2;0.4539
grafo9374.65.gml;1;10.2953;16;4;0.4571
grafo9379.61.gml;1;6.283;4;1;0.5066
grafo9383.63.gml;1;12.1639;20;3;0.4911
grafo9387.66.gml;1;11.0341;10;2;0.4768
grafo9390.63.gml;1;18.091;32;5;0.6429
grafo9394.64.gml;1;11.1501;14;3;0.4611
grafo9396.88.gml;1;29.9569;34;6;0.5534
grafo9398.66.gml;1;15.745;22;5;0.4807
grafo9415.65.gml;1;10.5239;14;3;0.5152
grafo9425.78.gml;1;16.0738;18;3;0.4804
grafo943.21.gml;1;0.1976;1;1;0.3265
grafo9430.65.gml;1;3.6282;6;1;0.4289
grafo9444.65.gml;1;24.8148;29;4;0.4727
grafo9449.72.gml;1;17.8206;32;5;0.5075
grafo9450.84.gml;1;41.6645;63;5;0.5783
grafo9468.79.gml;1;22.9773;29;4;0.5867
grafo9483.83.gml;1;20.5205;22;4;0.5366
grafo9484.60.gml;1;9.4821;13;3;0.5134
grafo9486.81.gml;1;28.5351;39;4;0.549
grafo9495.67.gml;1;18.6185;25;3;0.5623
grafo9503.77.gml;1;27.7313;50;5;0.5744
grafo9514.68.gml;1;10.8813;20;5;0.4973
grafo9515.67.gml;1;10.1071;9;2;0.4965
grafo9541.80.gml;1;18.9652;22;2;0.667
grafo9543.65.gml;1;17.4835;30;3;0.5755
grafo9544.62.gml;1;12.8815;29;5;0.5946
grafo9561.83.gml;1;18.2548;10;2;0.4781
grafo9562.66.gml;1;14.4437;20;3;0.4449
grafo9574.74.gml;1;30.2281;34;4;0.5554
grafo9587.62.gml;1;20.0112;32;4;0.5475
grafo9590.74.gml;1;17.4657;24;4;0.5042
grafo9599.81.gml;1;18.5719;15;2;0.5153
grafo9600.65.gml;1;8.7841;5;1;0.3898
grafo9601.64.gml;1;19.7911;24;4;0.5959
grafo9608.83.gml;1;10.3206;8;2;0.5001
grafo9613.67.gml;1;10.7617;23;4;0.5526
grafo9630.95.gml;1;29.9782;35;5;0.558
grafo9636.76.gml;1;16.973;16;3;0.4703
grafo9639.72.gml;1;4.5002;4;2;0.4041
grafo9648.64.gml;1;3.9329;3;1;0.443
grafo9658.67.gml;1;5.1353;4;1;0.4213
grafo9662.84.gml;1;34.5221;34;4;0.4769
grafo9673.64.gml;1;14.8867;24;4;0.5567
grafo9682.65.gml;1;25.515;38;5;0.5702
grafo9688.67.gml;1;7.2268;7;2;0.4806
grafo9690.63.gml;1;13.5885;17;3;0.489
